age,education,job,marital,salary,balance,loan,response
52.0,secondary,blue-collar,married,20000,46,no,no
25.0,tertiary,management,single,100000,1348,no,no
42.0,secondary,technician,married,60000,420,no,no
27.0,secondary,services,divorced,70000,96,no,no
42.0,primary,blue-collar,married,20000,271,no,no
29.0,secondary,admin.,divorced,50000,1320,yes,no
38.0,primary,blue-collar,married,20000,54,no,no
42.0,primary,entrepreneur,married,120000,198,no,no
35.0,primary,self-employed,married,60000,1094,no,no
41.0,tertiary,management,married,100000,141,yes,no
57.0,primary,retired,married,55000,207,no,no
36.0,secondary,blue-collar,married,20000,-206,no,no
56.0,tertiary,management,divorced,100000,177,no,no
33.0,primary,blue-collar,divorced,20000,176,no,no
41.0,tertiary,entrepreneur,divorced,120000,-413,no,no
33.0,primary,blue-collar,married,20000,-81,no,no
35.0,tertiary,management,divorced,100000,3837,no,yes
43.0,tertiary,management,married,100000,870,yes,no
36.0,secondary,admin.,single,50000,206,no,no
37.0,secondary,technician,married,60000,316,no,no
51.0,primary,management,married,100000,57,yes,no
28.0,primary,housemaid,divorced,16000,1,no,no
43.0,secondary,blue-collar,married,20000,-7,no,no
32.0,primary,blue-collar,single,20000,611,no,yes
36.0,secondary,entrepreneur,single,120000,157,no,no
33.0,secondary,unemployed,single,8000,233,no,no
39.0,secondary,admin.,married,50000,419,yes,no
28.0,secondary,blue-collar,married,20000,134,no,no
26.0,secondary,technician,single,60000,2087,no,no
40.0,tertiary,technician,married,60000,103,no,no
44.0,secondary,housemaid,married,16000,281,no,no
34.0,tertiary,management,married,100000,133,no,no
47.0,primary,blue-collar,married,20000,1865,no,no
55.0,tertiary,blue-collar,single,20000,325,no,no
48.0,primary,blue-collar,divorced,20000,-18,no,no
36.0,primary,blue-collar,single,20000,49,no,no
31.0,tertiary,management,single,100000,7444,yes,no
30.0,tertiary,management,single,100000,59,yes,no
46.0,primary,blue-collar,married,20000,45,no,no
30.0,secondary,admin.,single,50000,387,no,no
32.0,secondary,blue-collar,single,20000,5,yes,no
48.0,unknown,blue-collar,single,20000,71,no,no
48.0,secondary,admin.,single,50000,96,no,no
36.0,tertiary,services,single,70000,72,no,no
41.0,secondary,admin.,single,50000,1715,no,no
49.0,primary,admin.,single,50000,181,no,no
26.0,secondary,blue-collar,married,20000,20,no,no
38.0,secondary,management,married,100000,65,no,no
27.0,secondary,student,single,4000,81,no,no
51.0,secondary,retired,married,55000,226,yes,no
33.0,secondary,admin.,divorced,50000,1128,no,no
53.0,secondary,unemployed,married,8000,582,no,no
36.0,secondary,technician,married,60000,5611,no,no
48.0,secondary,technician,divorced,60000,177,no,no
27.0,secondary,admin.,single,50000,181,no,no
42.0,secondary,technician,married,60000,0,no,no
61.0,primary,blue-collar,married,20000,734,no,no
31.0,tertiary,self-employed,married,60000,322,no,no
37.0,secondary,blue-collar,single,20000,134,no,no
34.0,tertiary,entrepreneur,married,120000,10350,no,no
55.0,unknown,technician,married,60000,84,no,no
24.0,secondary,services,married,70000,620,no,no
41.0,unknown,technician,married,60000,254,no,no
34.0,primary,blue-collar,single,20000,0,no,no
29.0,secondary,blue-collar,married,20000,5903,no,no
42.0,primary,blue-collar,single,20000,134,yes,no
45.0,secondary,services,married,70000,1381,no,no
49.0,secondary,management,married,100000,104,no,no
26.0,primary,blue-collar,single,20000,318,no,no
35.0,secondary,technician,single,60000,2151,no,no
49.0,secondary,services,married,70000,-8,no,yes
44.0,primary,blue-collar,married,20000,185,no,no
41.0,tertiary,management,married,100000,1773,no,no
50.0,primary,blue-collar,married,20000,40,no,no
58.0,tertiary,retired,married,55000,44,no,no
43.0,secondary,blue-collar,married,20000,0,no,no
34.0,tertiary,management,married,100000,0,no,no
57.0,secondary,admin.,divorced,50000,3058,no,no
43.0,secondary,services,divorced,70000,130,no,no
38.0,secondary,services,married,70000,507,no,no
35.0,tertiary,self-employed,married,60000,844,no,no
49.0,primary,admin.,married,50000,458,no,no
33.0,primary,blue-collar,married,20000,-744,no,no
60.0,primary,retired,married,55000,-2,no,no
33.0,tertiary,technician,single,60000,129,no,no
33.0,secondary,services,divorced,70000,411,no,no
47.0,tertiary,management,married,100000,643,no,no
37.0,unknown,technician,single,60000,391,no,no
34.0,secondary,blue-collar,married,20000,80,yes,no
32.0,secondary,technician,single,60000,10,no,no
36.0,secondary,admin.,married,50000,114,yes,no
40.0,secondary,blue-collar,single,20000,1,no,no
57.0,tertiary,management,married,100000,1341,no,no
48.0,primary,blue-collar,married,20000,4,no,no
26.0,secondary,blue-collar,married,20000,2770,no,no
30.0,tertiary,management,single,100000,5956,no,no
41.0,secondary,admin.,married,50000,55,no,yes
30.0,secondary,self-employed,married,60000,131,no,no
35.0,tertiary,management,married,100000,1942,no,no
36.0,unknown,entrepreneur,married,120000,298,no,no
52.0,secondary,technician,married,60000,291,no,no
45.0,primary,blue-collar,married,20000,85,no,no
35.0,tertiary,management,single,100000,797,no,no
46.0,secondary,blue-collar,single,20000,152,no,no
39.0,primary,blue-collar,married,20000,481,no,no
38.0,tertiary,management,married,100000,66,no,no
38.0,secondary,blue-collar,married,20000,4586,no,no
31.0,tertiary,technician,single,60000,1798,no,no
39.0,tertiary,management,single,100000,220,no,no
32.0,secondary,blue-collar,married,20000,715,no,no
32.0,secondary,services,married,70000,442,no,no
26.0,secondary,student,single,4000,85,no,no
35.0,secondary,technician,married,60000,319,no,no
26.0,secondary,blue-collar,single,20000,-29,no,no
33.0,secondary,admin.,single,50000,303,no,no
41.0,primary,unknown,single,0,2398,no,no
30.0,secondary,entrepreneur,married,120000,31,no,no
36.0,secondary,technician,single,60000,1832,no,no
46.0,secondary,services,married,70000,2019,no,no
30.0,primary,blue-collar,married,20000,3,no,no
46.0,secondary,services,married,70000,397,no,no
38.0,tertiary,technician,married,60000,1161,no,no
24.0,tertiary,technician,single,60000,777,no,no
41.0,tertiary,management,divorced,100000,47,no,no
28.0,primary,technician,married,60000,-58,no,no
55.0,tertiary,unemployed,single,8000,1513,no,no
40.0,tertiary,management,married,100000,121,no,no
38.0,tertiary,management,divorced,100000,904,no,no
40.0,secondary,technician,married,60000,697,no,no
54.0,secondary,services,married,70000,841,no,no
49.0,secondary,housemaid,married,16000,7317,no,no
44.0,secondary,blue-collar,married,20000,-95,no,no
32.0,tertiary,management,single,100000,751,no,no
36.0,primary,blue-collar,married,20000,250,no,no
35.0,secondary,technician,single,60000,365,no,no
31.0,tertiary,management,single,100000,1315,no,no
34.0,secondary,technician,married,60000,65,no,no
36.0,tertiary,management,married,100000,1852,no,no
44.0,secondary,admin.,single,50000,-84,no,no
44.0,secondary,blue-collar,single,20000,36,no,no
51.0,unknown,blue-collar,married,20000,125,no,no
36.0,secondary,blue-collar,married,20000,0,no,no
37.0,secondary,blue-collar,married,20000,105,no,no
31.0,secondary,services,married,70000,432,no,no
42.0,primary,blue-collar,married,20000,555,no,no
55.0,primary,entrepreneur,married,120000,-24,no,no
57.0,tertiary,management,married,100000,2261,no,no
33.0,secondary,services,married,70000,804,yes,no
44.0,secondary,blue-collar,married,20000,-617,no,no
30.0,secondary,technician,married,60000,-1,no,no
37.0,secondary,services,married,70000,237,no,no
32.0,secondary,admin.,married,50000,514,no,no
33.0,secondary,blue-collar,married,20000,1988,no,no
31.0,tertiary,technician,single,60000,491,no,no
46.0,tertiary,technician,married,60000,675,no,no
34.0,secondary,blue-collar,single,20000,177,no,no
51.0,secondary,admin.,divorced,50000,340,no,no
49.0,primary,technician,married,60000,230,no,no
52.0,tertiary,management,single,100000,0,no,no
43.0,tertiary,technician,married,60000,2331,no,no
35.0,secondary,blue-collar,divorced,20000,0,no,no
27.0,secondary,student,single,4000,217,no,no
43.0,primary,blue-collar,married,20000,186,no,no
49.0,secondary,admin.,divorced,50000,168,yes,yes
50.0,secondary,services,divorced,70000,145,no,no
33.0,secondary,admin.,divorced,50000,140,no,no
49.0,secondary,services,married,70000,-22,no,no
50.0,secondary,technician,married,60000,389,no,no
42.0,secondary,admin.,married,50000,323,yes,no
28.0,secondary,services,married,70000,6,no,no
41.0,secondary,technician,married,60000,225,yes,no
34.0,secondary,services,married,70000,142,no,no
58.0,primary,blue-collar,married,20000,5,no,no
46.0,primary,blue-collar,married,20000,174,yes,no
46.0,primary,blue-collar,married,20000,-768,no,no
42.0,secondary,blue-collar,married,20000,30,no,no
40.0,primary,blue-collar,married,20000,968,yes,no
42.0,secondary,blue-collar,divorced,20000,47,yes,no
33.0,secondary,entrepreneur,married,120000,0,yes,no
27.0,primary,services,married,70000,91,no,no
43.0,primary,blue-collar,married,20000,-77,no,no
28.0,unknown,blue-collar,married,20000,486,no,no
34.0,secondary,blue-collar,single,20000,341,no,no
37.0,secondary,services,married,70000,50,no,no
41.0,secondary,services,married,70000,205,no,no
39.0,secondary,admin.,single,50000,762,no,no
37.0,tertiary,technician,single,60000,31,no,no
41.0,primary,unemployed,married,8000,-581,no,no
36.0,secondary,services,single,70000,-45,no,no
51.0,primary,blue-collar,married,20000,0,no,no
28.0,tertiary,self-employed,married,60000,120,yes,no
31.0,secondary,blue-collar,married,20000,335,no,no
33.0,secondary,services,married,70000,-232,no,no
28.0,secondary,admin.,divorced,50000,785,no,yes
31.0,secondary,services,married,70000,28,no,no
43.0,tertiary,management,single,100000,2067,no,yes
48.0,primary,blue-collar,married,20000,448,no,no
26.0,tertiary,student,single,4000,37,no,no
34.0,tertiary,technician,single,60000,301,no,no
38.0,primary,blue-collar,married,20000,668,no,no
51.0,secondary,admin.,divorced,50000,115,yes,no
49.0,secondary,admin.,single,50000,275,no,no
60.0,primary,retired,married,55000,414,no,no
32.0,tertiary,management,single,100000,3,no,no
36.0,secondary,admin.,divorced,50000,496,no,no
28.0,tertiary,management,single,100000,150,no,no
34.0,tertiary,management,single,100000,163,no,no
40.0,secondary,admin.,single,50000,1322,no,no
33.0,primary,housemaid,married,16000,1713,no,no
37.0,primary,admin.,married,50000,242,no,no
40.0,tertiary,management,married,100000,-29,no,no
59.0,tertiary,retired,divorced,55000,381,no,no
39.0,secondary,blue-collar,single,20000,82,no,no
28.0,tertiary,management,single,100000,21,no,no
30.0,secondary,services,married,70000,1801,no,no
40.0,primary,blue-collar,married,20000,640,yes,no
28.0,primary,blue-collar,married,20000,113,no,no
39.0,secondary,blue-collar,married,20000,1042,no,no
44.0,secondary,services,divorced,70000,240,no,no
39.0,secondary,services,single,70000,-244,no,no
30.0,primary,blue-collar,married,20000,70,yes,no
35.0,secondary,blue-collar,married,20000,-339,no,no
31.0,tertiary,management,married,100000,59,no,no
47.0,primary,management,married,100000,1222,no,no
26.0,unknown,student,single,4000,-41,no,no
25.0,secondary,blue-collar,single,20000,0,no,no
42.0,tertiary,management,married,100000,6,no,no
30.0,primary,blue-collar,married,20000,4,no,no
28.0,secondary,services,married,70000,20,yes,no
46.0,tertiary,admin.,divorced,50000,846,no,no
43.0,secondary,blue-collar,divorced,20000,338,no,no
38.0,unknown,technician,married,60000,90,yes,no
31.0,primary,blue-collar,married,20000,406,no,no
29.0,secondary,services,single,70000,2,no,no
34.0,secondary,services,married,70000,2211,no,no
40.0,primary,blue-collar,married,20000,87,no,no
30.0,tertiary,technician,single,60000,178,no,no
44.0,unknown,technician,married,60000,185,yes,no
38.0,secondary,blue-collar,married,20000,-210,no,no
43.0,tertiary,management,divorced,100000,388,no,yes
32.0,secondary,blue-collar,married,20000,1,no,no
33.0,secondary,management,married,100000,879,no,no
32.0,secondary,blue-collar,married,20000,214,no,no
40.0,unknown,technician,married,60000,698,no,no
34.0,tertiary,management,married,100000,1601,no,no
30.0,secondary,blue-collar,married,20000,717,no,no
53.0,primary,blue-collar,divorced,20000,255,no,no
39.0,tertiary,management,single,100000,375,no,no
46.0,primary,blue-collar,married,20000,587,no,no
32.0,tertiary,management,married,100000,644,yes,no
60.0,unknown,technician,married,60000,0,no,no
40.0,tertiary,management,single,100000,-275,no,no
47.0,secondary,blue-collar,married,20000,116,no,no
25.0,tertiary,entrepreneur,married,120000,37,yes,no
44.0,primary,blue-collar,married,20000,753,no,no
38.0,primary,blue-collar,single,20000,162,no,no
45.0,secondary,admin.,divorced,50000,984,no,no
34.0,secondary,blue-collar,married,20000,199,no,no
36.0,secondary,services,divorced,70000,241,no,no
30.0,secondary,blue-collar,single,20000,648,yes,no
35.0,secondary,blue-collar,single,20000,907,yes,no
39.0,secondary,unemployed,divorced,8000,6322,no,no
46.0,secondary,blue-collar,married,20000,125,yes,no
36.0,primary,self-employed,married,60000,90,no,no
22.0,secondary,technician,single,60000,54,yes,no
26.0,secondary,blue-collar,single,20000,-132,no,no
48.0,secondary,admin.,divorced,50000,267,no,no
32.0,primary,blue-collar,married,20000,289,no,no
58.0,secondary,self-employed,divorced,60000,613,no,no
57.0,unknown,entrepreneur,married,120000,618,no,no
53.0,tertiary,management,married,100000,1786,no,no
29.0,tertiary,management,divorced,100000,607,yes,no
34.0,secondary,services,married,70000,586,yes,no
32.0,secondary,services,single,70000,459,no,no
55.0,primary,entrepreneur,married,120000,298,no,no
50.0,primary,blue-collar,divorced,20000,134,no,no
43.0,primary,blue-collar,married,20000,34,no,no
44.0,secondary,services,single,70000,1378,no,no
27.0,tertiary,blue-collar,married,20000,417,yes,no
35.0,secondary,blue-collar,married,20000,25,no,no
45.0,secondary,services,married,70000,22,no,no
35.0,primary,blue-collar,single,20000,398,no,no
49.0,primary,blue-collar,single,20000,1164,no,no
34.0,secondary,management,married,100000,487,no,no
46.0,secondary,admin.,married,50000,1069,no,no
43.0,primary,blue-collar,married,20000,-192,no,yes
42.0,primary,retired,married,55000,0,no,no
55.0,primary,blue-collar,married,20000,332,no,no
37.0,secondary,blue-collar,married,20000,121,no,no
31.0,primary,blue-collar,married,20000,68,no,no
57.0,primary,blue-collar,divorced,20000,-176,no,no
33.0,secondary,blue-collar,married,20000,527,yes,no
43.0,unknown,services,single,70000,193,no,no
60.0,primary,blue-collar,divorced,20000,7601,no,no
51.0,tertiary,management,married,100000,751,no,no
38.0,unknown,blue-collar,single,20000,495,no,no
37.0,secondary,technician,single,60000,670,no,no
41.0,secondary,blue-collar,single,20000,363,no,no
42.0,secondary,blue-collar,married,20000,376,no,no
41.0,tertiary,management,divorced,100000,292,no,no
33.0,unknown,technician,married,60000,0,no,no
32.0,secondary,admin.,single,50000,184,no,no
30.0,secondary,services,married,70000,80,no,no
43.0,secondary,technician,married,60000,1824,no,no
30.0,secondary,blue-collar,married,20000,2850,no,no
37.0,secondary,blue-collar,divorced,20000,48,no,no
34.0,tertiary,management,married,100000,76,no,no
32.0,tertiary,unemployed,single,8000,336,no,no
42.0,secondary,technician,married,60000,0,yes,no
35.0,secondary,technician,single,60000,433,no,no
34.0,secondary,blue-collar,married,20000,103,yes,no
50.0,primary,blue-collar,married,20000,1164,no,no
34.0,secondary,blue-collar,married,20000,129,no,no
38.0,secondary,services,divorced,70000,5873,no,no
28.0,secondary,blue-collar,married,20000,0,no,no
55.0,primary,blue-collar,married,20000,82,no,no
38.0,primary,blue-collar,married,20000,362,no,no
31.0,secondary,blue-collar,married,20000,186,no,no
57.0,secondary,admin.,married,50000,1216,no,no
50.0,tertiary,management,divorced,100000,704,no,no
47.0,primary,blue-collar,married,20000,205,no,no
39.0,primary,blue-collar,married,20000,830,no,no
34.0,secondary,services,married,70000,-315,no,no
41.0,secondary,technician,married,60000,64,yes,no
59.0,tertiary,entrepreneur,married,120000,-820,no,no
35.0,tertiary,self-employed,single,60000,538,yes,no
31.0,tertiary,technician,single,60000,948,no,no
55.0,tertiary,management,married,100000,1288,no,no
36.0,unknown,blue-collar,married,20000,70,no,no
41.0,tertiary,management,married,100000,393,no,no
44.0,secondary,technician,single,60000,365,no,no
40.0,secondary,blue-collar,single,20000,879,yes,no
32.0,secondary,blue-collar,married,20000,491,no,no
38.0,tertiary,management,single,100000,0,no,no
27.0,secondary,student,single,4000,0,no,no
33.0,secondary,unemployed,married,8000,229,no,no
37.0,secondary,services,married,70000,22,yes,no
40.0,tertiary,management,married,100000,570,no,no
33.0,secondary,blue-collar,single,20000,56,no,no
40.0,secondary,admin.,single,50000,118,no,no
27.0,secondary,blue-collar,married,20000,106,no,no
42.0,tertiary,management,single,100000,1768,no,no
41.0,secondary,blue-collar,married,20000,213,no,no
37.0,secondary,unemployed,single,8000,381,no,yes
38.0,primary,unemployed,married,8000,1147,yes,no
44.0,secondary,blue-collar,married,20000,373,no,no
31.0,primary,blue-collar,married,20000,50,no,no
34.0,secondary,blue-collar,married,20000,67,yes,no
46.0,primary,blue-collar,married,20000,0,yes,no
33.0,secondary,admin.,married,50000,61,yes,no
36.0,secondary,blue-collar,married,20000,504,no,no
32.0,secondary,unemployed,single,8000,177,no,no
27.0,secondary,technician,single,60000,584,no,no
31.0,primary,services,married,70000,-732,no,no
41.0,tertiary,management,single,100000,572,no,no
35.0,primary,blue-collar,married,20000,105,no,no
50.0,tertiary,technician,single,60000,0,no,no
33.0,secondary,technician,married,60000,832,yes,no
48.0,primary,blue-collar,married,20000,2642,no,no
36.0,secondary,technician,married,60000,195,no,no
29.0,secondary,housemaid,single,16000,718,no,no
34.0,tertiary,management,married,100000,336,yes,no
39.0,primary,blue-collar,married,20000,332,no,no
32.0,tertiary,management,divorced,100000,1,no,no
59.0,primary,retired,divorced,55000,-138,yes,no
50.0,primary,blue-collar,married,20000,749,no,no
37.0,secondary,admin.,married,50000,14,no,no
33.0,secondary,unemployed,single,8000,177,no,no
52.0,secondary,blue-collar,married,20000,557,no,no
43.0,primary,blue-collar,married,20000,126,no,no
53.0,secondary,blue-collar,married,20000,359,yes,no
37.0,primary,blue-collar,married,20000,496,no,no
50.0,secondary,services,single,70000,72,no,no
53.0,secondary,blue-collar,married,20000,175,no,no
47.0,primary,blue-collar,married,20000,430,no,no
48.0,tertiary,technician,divorced,60000,574,no,no
35.0,secondary,technician,divorced,60000,69,no,no
42.0,secondary,self-employed,married,60000,106,no,no
43.0,tertiary,management,divorced,100000,0,no,no
40.0,secondary,services,single,70000,23,no,no
36.0,secondary,services,married,70000,42,no,no
39.0,tertiary,management,married,100000,429,no,no
32.0,primary,blue-collar,divorced,20000,88,no,no
44.0,tertiary,management,divorced,100000,3932,no,no
43.0,secondary,technician,divorced,60000,177,no,no
53.0,secondary,self-employed,married,60000,468,no,no
41.0,secondary,services,married,70000,639,no,no
53.0,tertiary,management,married,100000,2124,no,no
31.0,primary,unemployed,married,8000,309,no,no
51.0,primary,blue-collar,married,20000,202,no,no
32.0,secondary,blue-collar,married,20000,20,yes,no
52.0,secondary,blue-collar,married,20000,-17,no,no
41.0,primary,management,married,100000,-417,no,no
30.0,tertiary,management,single,100000,528,no,no
32.0,tertiary,management,single,100000,394,no,no
31.0,primary,blue-collar,married,20000,856,no,no
38.0,secondary,blue-collar,married,20000,468,no,no
44.0,secondary,blue-collar,married,20000,138,no,no
36.0,secondary,blue-collar,married,20000,406,no,no
34.0,tertiary,admin.,married,50000,221,no,no
40.0,secondary,admin.,married,50000,523,yes,no
41.0,primary,blue-collar,married,20000,-52,no,no
56.0,secondary,technician,divorced,60000,397,no,no
39.0,primary,blue-collar,married,20000,-432,no,no
34.0,primary,blue-collar,married,20000,298,no,no
41.0,secondary,blue-collar,single,20000,1080,yes,no
39.0,tertiary,management,single,100000,-85,no,no
33.0,secondary,admin.,married,50000,4012,yes,no
26.0,tertiary,management,single,100000,498,no,no
54.0,secondary,unemployed,married,8000,23,no,no
30.0,unknown,technician,married,60000,-315,no,no
35.0,tertiary,management,married,100000,89,yes,no
47.0,secondary,technician,divorced,60000,699,no,no
53.0,secondary,blue-collar,divorced,20000,145,no,no
29.0,secondary,blue-collar,single,20000,-138,yes,no
36.0,tertiary,technician,married,60000,491,no,no
35.0,tertiary,management,married,100000,820,no,no
43.0,secondary,blue-collar,married,20000,1376,no,no
38.0,primary,blue-collar,married,20000,0,no,no
39.0,secondary,blue-collar,married,20000,507,no,no
58.0,secondary,management,married,100000,771,no,no
33.0,secondary,services,married,70000,310,no,no
60.0,primary,blue-collar,married,20000,136,no,no
45.0,secondary,admin.,married,50000,310,no,no
39.0,primary,blue-collar,married,20000,813,no,no
35.0,tertiary,management,married,100000,14,yes,no
41.0,primary,blue-collar,married,20000,-97,no,no
40.0,primary,services,married,70000,332,no,no
33.0,secondary,services,married,70000,5034,no,no
32.0,secondary,admin.,divorced,50000,281,no,no
44.0,secondary,management,married,100000,576,no,no
34.0,tertiary,management,single,100000,1891,no,no
29.0,secondary,services,single,70000,473,yes,no
49.0,primary,blue-collar,married,20000,216,no,no
31.0,secondary,blue-collar,married,20000,-13,no,no
47.0,secondary,admin.,divorced,50000,162,no,no
34.0,primary,blue-collar,married,20000,365,no,no
32.0,tertiary,management,single,100000,264,no,no
32.0,tertiary,admin.,single,50000,490,no,no
56.0,primary,technician,single,60000,230,no,no
28.0,secondary,technician,single,60000,-9,yes,no
35.0,secondary,technician,single,60000,317,no,no
52.0,tertiary,self-employed,single,60000,458,yes,no
35.0,secondary,technician,married,60000,19,no,no
32.0,secondary,blue-collar,married,20000,536,no,no
42.0,secondary,management,divorced,100000,117,no,no
51.0,primary,blue-collar,single,20000,368,no,no
47.0,secondary,blue-collar,married,20000,-98,no,no
34.0,secondary,services,married,70000,627,no,no
45.0,secondary,admin.,married,50000,180,no,no
31.0,secondary,technician,divorced,60000,26,no,no
40.0,primary,blue-collar,married,20000,2171,no,no
53.0,secondary,entrepreneur,married,120000,-118,no,no
44.0,secondary,technician,single,60000,1059,no,no
49.0,primary,blue-collar,married,20000,186,no,no
47.0,secondary,services,married,70000,1306,no,no
31.0,primary,blue-collar,married,20000,3007,no,no
45.0,secondary,admin.,single,50000,-88,no,no
30.0,primary,blue-collar,married,20000,265,yes,no
40.0,primary,blue-collar,divorced,20000,21,no,no
27.0,unknown,admin.,single,50000,230,no,no
28.0,secondary,admin.,married,50000,252,no,no
28.0,tertiary,admin.,single,50000,422,no,no
44.0,secondary,blue-collar,married,20000,85,no,no
35.0,tertiary,management,married,100000,4286,no,no
29.0,secondary,blue-collar,married,20000,0,no,no
33.0,primary,blue-collar,divorced,20000,60,no,no
32.0,secondary,blue-collar,married,20000,687,no,no
35.0,secondary,blue-collar,single,20000,40,no,yes
31.0,tertiary,technician,single,60000,22,no,yes
36.0,secondary,technician,single,60000,-333,yes,no
41.0,secondary,technician,married,60000,483,no,no
35.0,secondary,blue-collar,married,20000,503,yes,no
40.0,secondary,blue-collar,married,20000,1245,no,no
42.0,secondary,blue-collar,married,20000,117,no,no
34.0,tertiary,technician,single,60000,33,yes,no
41.0,secondary,technician,single,60000,-320,no,no
43.0,primary,blue-collar,divorced,20000,49,no,no
37.0,tertiary,management,married,100000,0,no,no
26.0,secondary,blue-collar,single,20000,100,no,no
32.0,primary,housemaid,married,16000,344,no,no
51.0,secondary,blue-collar,married,20000,-286,no,no
38.0,secondary,blue-collar,single,20000,57,no,no
51.0,secondary,unemployed,divorced,8000,370,no,no
49.0,secondary,services,divorced,70000,470,no,no
31.0,secondary,housemaid,married,16000,0,no,no
33.0,primary,blue-collar,married,20000,767,no,no
30.0,unknown,admin.,single,50000,1,no,no
33.0,secondary,technician,married,60000,0,no,no
41.0,secondary,unemployed,married,8000,121,no,no
37.0,secondary,blue-collar,married,20000,190,no,no
33.0,primary,blue-collar,married,20000,120,no,no
32.0,secondary,services,married,70000,2068,yes,no
46.0,secondary,technician,married,60000,332,no,yes
34.0,tertiary,management,single,100000,-322,no,no
32.0,primary,blue-collar,married,20000,274,no,no
43.0,secondary,blue-collar,single,20000,3,no,yes
28.0,secondary,blue-collar,married,20000,6,no,no
46.0,tertiary,technician,divorced,60000,288,no,no
52.0,primary,services,divorced,70000,146,no,no
34.0,secondary,blue-collar,married,20000,286,no,no
27.0,secondary,technician,divorced,60000,114,yes,no
32.0,tertiary,technician,single,60000,190,yes,no
37.0,secondary,blue-collar,single,20000,111,no,no
29.0,tertiary,management,married,100000,246,no,no
40.0,secondary,housemaid,divorced,16000,108,no,no
47.0,primary,technician,married,60000,187,no,no
34.0,secondary,blue-collar,married,20000,457,no,no
25.0,secondary,admin.,single,50000,131,yes,no
30.0,tertiary,management,married,100000,1825,no,no
31.0,secondary,admin.,married,50000,307,no,yes
35.0,secondary,blue-collar,married,20000,-198,no,no
32.0,secondary,blue-collar,divorced,20000,739,no,no
28.0,secondary,blue-collar,single,20000,759,no,yes
27.0,secondary,services,single,70000,777,no,no
37.0,primary,blue-collar,married,20000,378,no,no
35.0,primary,blue-collar,single,20000,337,no,no
34.0,primary,blue-collar,married,20000,-78,no,no
31.0,secondary,admin.,married,50000,355,no,no
36.0,tertiary,management,divorced,100000,133,no,no
38.0,secondary,technician,married,60000,32,no,no
25.0,secondary,services,married,70000,55,yes,no
51.0,tertiary,management,single,100000,417,no,no
26.0,secondary,blue-collar,single,20000,153,no,no
40.0,tertiary,retired,married,55000,794,no,no
26.0,secondary,services,single,70000,187,no,no
36.0,secondary,services,married,70000,335,no,no
59.0,secondary,blue-collar,married,20000,1407,no,no
26.0,secondary,blue-collar,single,20000,-116,yes,no
49.0,tertiary,self-employed,married,60000,1842,no,no
33.0,primary,blue-collar,married,20000,329,no,no
31.0,secondary,blue-collar,married,20000,428,no,no
59.0,secondary,management,single,100000,181,no,no
38.0,secondary,entrepreneur,married,120000,2139,no,no
37.0,secondary,services,single,70000,253,yes,no
31.0,tertiary,unemployed,single,8000,133,no,no
54.0,secondary,retired,married,55000,785,no,no
41.0,primary,blue-collar,married,20000,-45,yes,no
44.0,tertiary,management,married,100000,223,no,no
28.0,secondary,admin.,single,50000,2831,no,no
22.0,secondary,student,single,4000,2412,no,no
31.0,primary,blue-collar,married,20000,11,no,no
36.0,secondary,services,married,70000,211,no,no
37.0,secondary,admin.,divorced,50000,34,no,no
54.0,secondary,admin.,married,50000,222,no,no
28.0,tertiary,management,single,100000,3285,no,no
42.0,primary,blue-collar,married,20000,-67,no,no
35.0,tertiary,technician,single,60000,670,no,no
29.0,secondary,admin.,married,50000,0,no,no
59.0,primary,blue-collar,single,20000,96,no,no
46.0,secondary,blue-collar,married,20000,-3,no,no
32.0,secondary,self-employed,single,60000,123,no,no
43.0,tertiary,management,divorced,100000,443,no,no
41.0,primary,blue-collar,married,20000,406,no,no
31.0,secondary,admin.,married,50000,535,no,no
26.0,secondary,services,single,70000,302,no,no
29.0,primary,blue-collar,married,20000,-43,no,no
31.0,secondary,services,married,70000,-346,no,no
37.0,secondary,blue-collar,divorced,20000,-271,no,no
35.0,secondary,technician,married,60000,55,no,no
31.0,tertiary,technician,single,60000,375,no,no
30.0,secondary,blue-collar,married,20000,-2,no,no
29.0,primary,blue-collar,single,20000,-680,no,no
29.0,secondary,admin.,divorced,50000,0,no,no
39.0,secondary,blue-collar,single,20000,217,no,no
31.0,secondary,blue-collar,single,20000,160,no,no
27.0,tertiary,management,single,100000,118,no,no
22.0,secondary,admin.,single,50000,-1,no,no
31.0,secondary,management,single,100000,453,no,no
39.0,secondary,blue-collar,single,20000,169,no,no
25.0,secondary,admin.,single,50000,787,no,no
27.0,secondary,self-employed,single,60000,78,no,no
28.0,tertiary,technician,single,60000,2269,no,no
31.0,primary,unemployed,married,8000,213,no,no
46.0,secondary,technician,divorced,60000,164,no,no
37.0,secondary,blue-collar,married,20000,934,no,no
27.0,secondary,services,single,70000,4,yes,no
34.0,secondary,unemployed,divorced,8000,354,no,no
30.0,secondary,technician,single,60000,23,no,no
23.0,secondary,student,single,4000,318,no,no
33.0,secondary,technician,divorced,60000,-305,yes,no
43.0,secondary,admin.,married,50000,616,no,no
50.0,primary,blue-collar,married,20000,2590,no,no
31.0,secondary,technician,married,60000,1868,no,no
32.0,secondary,blue-collar,single,20000,-578,no,no
32.0,secondary,admin.,single,50000,-227,yes,no
